wyscout_name,search_name,fm_name,fm_id,fm_team,match_score,face_url,wyscout_teams
A. Aguirre,Agustín Aguirre,Agustín Aguirre,2000480067,Club Atlético Boston River,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000480067.png,Agropecuario|Deportes Limache|CA Nueva Chicago
A. Anello,Agustin Anello,Agustín Anello,2000063732,Philadelphia Union,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000063732.png,Club Atlético Boston River S.A.D.|Boston River
A. Auzmendi,Agustín Auzmendi,Agustín Auzmendi,14188889,Club de Gimnasia y Esgrima La Plata,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14188889.png,Club Deportivo Godoy Cruz Antonio Tomba|Gimnasia La Plata
A. Bouzat,Agustín Bouzat,Agustín Bouzat,14045903,Houston Dynamo FC,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14045903.png,Vélez Sarsfield|Club Atlético Vélez Sarsfield
A. Díaz,Alexander Díaz,Alexander Díaz,14217809,Club Deportivo Riestra,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14217809.png,CD Riestra|Deportivo Riestra
A. Forneris,Alan Forneris,Alan Forneris,2000248371,Racing Club de Avellaneda,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000248371.png,Racing Club|Colón de Santa Fe
A. Frugone,Axel Frugone,Axel Frugone,2000342613,Defensor Sporting Club,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000342613.png,Cerro|Club Atlético Cerro
A. Giay,Agustín Giay,Agustín Giay,2000044680,Sociedade Esportiva Palmeiras,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000044680.png,Palmeiras|Sociedade Esportiva Palmeiras
A. Maldonado,Alexis Maldonado,Alexis Maldonado,14196680,Club Atlético Belgrano,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14196680.png,CA Banfield|CA Belgrano de Córdoba|Belgrano
A. Max,Augusto Max,Augusto Max,14044641,Club de Gimnasia y Esgrima La Plata,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14044641.png,Gimnasia La Plata|Gimnasia y Esgrima La Plata
A. Melo,Alexis Melo,Alexis Melo,2000172422,Club Atlético All Boys,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000172422.png,Vinotinto de Ecuador|Vinotinto de Ecuador FC
A. Montoro,Alvaro Montoro,Álvaro Montoro,2000188763,Botafogo de Futebol e Regatas SAF,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000188763.png,Botafogo|Club Atlético Vélez Sarsfield|Botafogo de Futebol e Regatas
A. Olinick,Alan Olinick,Alan Olinick,2000052186,Club Atlético Racing de Córdoba,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000052186.png,Orense SC|Racing Córdoba
A. Osella,Alejo Osella,Alejo Osella,2000166240,Club Sportivo Independiente Rivadavia,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000166240.png,Independiente Rivadavia|CS Independiente Rivadavia
A. Schott,Augusto Schott,Augusto Schott,14181170,Club Atlético Talleres de Córdoba,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14181170.png,Talleres Córdoba|Club Atlético Talleres
A. Vombergar,Andrés Vombergar,Andrés Vombergar,14140347,,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14140347.png,Club Atlético San Lorenzo de Almagro
A. Véliz,Alejo Véliz,Alejo Veliz,2000096330,Club Atlético Rosario Central,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000096330.png,Rosario Central|Club Atlético Rosario Central
A. Álvarez,Agustín Álvarez Wallace,Agustín Álvarez Wallace,78094307,Racing Club de Montevideo,100,https://sortitoutsi.b-cdn.net/uploads/face/face_78094307.png,Unión La Calera|Delfin|CD Unión La Calera
Aaron Sandoval,Aaron Sandoval,Aarón Sandoval,51016138,,100,https://sortitoutsi.b-cdn.net/uploads/face/face_51016138.png,CA Los Andes
Abner,Abner Salles da Silva,Abner,2000246648,Riga FC,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000246648.png,Juventude|Juventude RS
Adailton,Adailton dos Santos da Silva,Adailton,19055478,Yokohama FC,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19055478.png,Clube do Remo|Yokohama
Ademilson,Ademilson Braga Bispo Junior,Ademilson,19161405,,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19161405.png,Operário Ferroviário EC
Ademir,Ademir da Silva Santos Junior,Ademir,19409404,Esporte Clube Bahia SAF,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19409404.png,Esporte Clube Bahia|Bahia
Aderlan,Aderlan de Lima Silva,Aderlan,19095247,,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19095247.png,SC do Recife
Adler,Adler,Adler,83129048,,100,https://sortitoutsi.b-cdn.net/uploads/face/face_83129048.png,Slovan Bratislava
Adolfo Tallura,Adolfo Tallura,Adolfo Tallura,14049799,Club de Gimnasia y Tiro de Salta,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14049799.png,Club de Gimnasia y Tiro de Salta
Adrianinho,Adrianinho,Adrianinho,14525,,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14525.png,Brusque
Adriano,Adriano,Adriano,315865,,100,https://sortitoutsi.b-cdn.net/uploads/face/face_315865.png,Raków Częstochowa
Adriano Firmino,Adriano Firmino,Adriano Firmino,19380453,Wuhan Three Towns,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19380453.png,Santa Clara
Adriel,Adriel,Adriel,19297054,Ha Noi FC,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19297054.png,Sport Recife|Ha Noi
Adrián Arregui,Adrián Arregui,Adrián Arregui,14035965,Club Atlético Temperley,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14035965.png,CA Temperley
Adryan,Adryan,Adryan,19124583,,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19124583.png,ABC
Adryelson,Adryelson,Adryelson,19250021,Al-Wasl,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19250021.png,Al Wasl
Adson,Adson,Adson,19380038,Club de Regatas Vasco da Gama SAF,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19380038.png,Rio Branco SP
Adyson,Adyson,Adyson,2000158452,Al-Bataeh,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000158452.png,Al Bataeh
Afonso,Afonso,Afonso,741711,,100,https://sortitoutsi.b-cdn.net/uploads/face/face_741711.png,
Agustín Arce,Agustín Arce,Agustín Arce,2000129830,Universidad de Chile,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000129830.png,Deportes Limache
Agustín Bianciotti,Agustín Bianciotti,Agustín Bianciotti,2000269084,Metropolitanos de Caracas Fútbol Club,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000269084.png,CA Central Norte
Agustín Gallo,Agustín Gallo,Agustín Gallo,14209430,Club Atlético All Boys,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14209430.png,CA All Boys
Agustín Quiroga,Agustín Quiroga,Agustín Quiroga,14217162,Club Central Córdoba de Santiago del Estero,100,https://sortitoutsi.b-cdn.net/uploads/face/face_14217162.png,CA Chacarita Juniors
Agustín Rogel,Agustín Maximiliano Rogel Paita,Agustín Rogel,78078857,Club Nacional de Football,100,https://sortitoutsi.b-cdn.net/uploads/face/face_78078857.png,SC Internacional|Hertha BSC
Airton,Airton,Aírton,19157376,Prachuap FC,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19157376.png,Prachuap
Aitor Cantalapiedra,Aitor Cantalapiedra Fernández,Aitor Cantalapiedra,67201633,Esporte Clube Vitória,100,https://sortitoutsi.b-cdn.net/uploads/face/face_67201633.png,Vitória|EC Vitória
Alan,Alan,Alan,19207207,,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19207207.png,Moreirense
Alan Empereur,Alan Pereira Empereur,Alan Empereur,43069211,Cuiabá Esporte Clube SAF,100,https://sortitoutsi.b-cdn.net/uploads/face/face_43069211.png,Cuiaba Esporte Club|Cuiabá
Alan Franco,Alan Steven Franco Palma,Alan Franco,86066841,Clube Atlético Mineiro SAF,100,https://sortitoutsi.b-cdn.net/uploads/face/face_86066841.png,Clube Atlético Mineiro|Atlético Mineiro
Alan Kardec,Alan Kardec de Souza Pereira Junior,Alan Kardec,19012140,Esporte Clube Juventude,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19012140.png,Juventude|Club Athletico Paranaense
Alan Patrick,Alan Patrick Lourenço,Alan Patrick,19084056,Sport Club Internacional,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19084056.png,Internacional|SC Internacional
Alan Rodríguez,Alan Francisco Rodríguez Armoa,Alan Rodríguez,79031732,Club Olimpia,100,https://sortitoutsi.b-cdn.net/uploads/face/face_79031732.png,Rosario Central|Clube do Remo
Alan Ruschel,Alan Luciano Ruschel,Alan Ruschel,19052745,Esporte Clube Juventude,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19052745.png,Juventude|Juventude RS
Alason Carioca,Alason Carioca,Alason Carioca,19291700,Ituano Futebol Clube,100,https://sortitoutsi.b-cdn.net/uploads/face/face_19291700.png,Ituano
Albano,Albano Sehn Neto,Albano,2000055584,Associação Ferroviária de Esportes,100,https://sortitoutsi.b-cdn.net/uploads/face/face_2000055584.png,Ferroviária|Associação Ferroviária de Esportes
