wyscout_name,fm_name,fm_id,fm_nation,match_score,logo_url
AC Connecticut,AC Connecticut,20018919,The United States of America,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_20018919.png
AEK Athens,AEK Athens,967,Greece,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_967.png
ASA,Agremiação Sportiva Arapiraquense,301100,Brazil,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_301100.png
Akhmat Grozny,Akhmat Grozny,58137861,Russia,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_58137861.png
Akron Togliatti,Akron Togliatti,58145316,Russia,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_58145316.png
Albirex Niigata,Albirex Niigata,107280,Japan,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_107280.png
Alianza Coronel Moldes,Alianza Coronel Moldes,14064715,,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_14064715.png
Ankara Keçiörengücü,Ankara Keçiörengücü,454840,Türkiye,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_454840.png
Antigua GFC,Antigua GFC,5395158,Guatemala,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5395158.png
Ararat-Armenia,Ararat-Armenia,2000280281,Armenia,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000280281.png
Aston Villa,Aston Villa,603,England,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_603.png
Athletic Club,Athletic Club,1664,Spain,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1664.png
Atlas,Atlas,2000137394,Australia,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000137394.png
Atlético,Atletico,13158231,Guinea,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_13158231.png
Atlético de San Luis,Atlético de San Luis,2000254866,Mexico,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000254866.png
Audax Italiano,Audax Italiano,130778,Chile,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_130778.png
Aurora,Aurora,60008555,,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_60008555.png
